entrez_id	obsolete_entrez_id	obsolete_symbol
1660	3450	LKP
-	3457	IFNB3
158011	3462	IFNA12P
-	3464	IFNP23
-	3465	IFNP24
646581	3468	IFNWP2
392292	3470	IFNWP5
100130671	3471	IFNWP9
100130866	3472	IFNWP15
360001	3473	IFNWP18
2206	3477	IGER
-	3504	INSL1
3492	3506	IGHJ@
3492	3509	IGHV@
-	3510	IGHVOR15@
-	3511	IGHVOR16@
3517	3518	RBPJP2
-	3520	IGKV1@
-	3521	IGKV2@
-	3522	IGKV3@
-	3524	IGKVOR2@
339562	3526	IGKV1OR15-118
2651	3528	II
644731	3533	IGKV1OR-3
-	3536	IGLC@
91353	3545	IGLL3
7850	3555	IL1R2
1439	3564	IL3RB
157916	3571	IL6RL1
100128449	3582	IL9RP1
439945	3583	IL9RP2
729486	3584	IL9RP3
-	3585	IL9RP4
-	3591	IL11RB
-	3599	IL14
3560	3602	IL15RB
55342	3610	ILF3L
727833	3616	IMPDHL1
5002	3618	IMPT1
-	3629	INPP3
-	3634	INPP5C
-	3637	INSAF
-	3639	INSL2
-	3644	INSRL
56652	3648	IOSCA
8517	3649	IP1
8517	3650	IP2
48	3657	IREB1
2296	3666	IRID1
442338	3668	IRS3L
3680	3677	ITGA4L
-	3686	ITGAW
3700	3701	ITIHL1
8114	3711	IV
182	3715	JAG1
546	3721	JMS
1075	3722	JPD
6259	3723	JTK5A~withdrawn
6260	3724	JTK5B
-	3729	K12T
2260	3731	KAL2
128674	3733	KAL3
3739	3740	KCNA4L
6905	3771	KCS
3768	3774	KCNJN1
145226	3789	LCA3
392255	3793	KFM
6303	3794	KFSD
100132285	3807	KIR2DS2
10748	3819	KLRA#
-	3825	KLRE1
8085	3826	KMS
80781	3828	KNO
-	3829	KNPEP
3799	3830	KNS1
387264	3847	KRN1L
729252	3862	KRT14P
-	3863	KRT14L1
-	3864	KRT14L2
-	3865	KRT14L3
-	3867	KRT15L
-	3869	KRT16L1
-	3870	KRT16L2
-	3871	KRT16P1
147228	3873	KRT17P1
339241	3874	KRT17P2
392371	3877	KRT18P13
119722	3878	KRT18P14
3854	3893	KRTL1
-	3894	KSS
6351	3900	LAG1
10578	3901	LAG2
284217	3907	LAMA1
387867	3917	RPSAP12
100421198	3919	LAMP1P1
645326	3922	RPSAP11
51520	3926	LARS
11214	3928	LBC
-	3935	LCO
100190799	3941	LDHAL2
442013	3942	LDHAL3
158222	3943	LDHAL4
729666	3944	LDHAL5
100289475	3946	LDHBL1
51176	3951	LEF1
-	3961	LGALS5
-	3962	LGALS6
2131	3966	LGCR
9499	3967	LGMD1A
4000	3968	LGMD1B
8291	3969	LGMD2B
8557	3970	LGMD2G
22954	3971	LGMD2H
-	3974	LHON
3980	3979	LIG2
-	3986	LIMM
9415	3994	FADS2
-	3997	LLP
84823	3999	LMNB2
4000	4002	LMNL1
-	4003	LMNL2
55885	4006	LMO3
6402	4011	LNHR
80350	4020	LPAL2
7069	4021	LPGP1
9056	4022	LPI
6578	4024	MATR1
3757	4027	LQT2
287	4028	LQT4
-	4029	L1RE1
-	4030	L1RE2
-	4031	LRE3
-	4032	LRE4
4041	4039	LRP5
7804	4042	LRP8
2317	4044	LRS1
-	4073	M6P2
6510	4075	M7V1
-	4078	M130
-	4079	M195
7975	4098	MAFK
7851	4119	MALL
6445	4120	MAM
-	4127	MANBB
4130	4132	MAP1L
23532	4136	MAPE
4137	4138	MAPTL
56922	4164	MCCC1
64087	4165	MCCC2
4582	4169	MCKD1
670	4177	MCNAA
-	4178	MCO
79648	4180	MCPH1
284403	4181	MCPH2
55906	4183	MCS
5048	4186	MDCR
-	4187	MDF1
401577	4196	CD99L1
2122	4197	MDS1
6520	4198	MDU1
203547	4202	MEAX
55624	4203	MEB
-	4219	MELAS
79258	4220	MELL1
-	4226	MER1
-	4227	MER2
-	4228	MER5
961	4229	MER6
-	4230	MERR
4566	4231	MERRF
8823	4235	MF4
7048	4243	MFS2
8029	4244	MGA1
91851	4251	MGC1
4330	4252	MGCR
5728	4260	MHAM
477	4262	MHP2
6261	4263	MHS1
3897	4268	MIC5
-	4269	MIC6
-	4270	MIC7
-	4271	MIC9
4179	4272	MIC10
-	4273	MIC12
-	4274	MIC17
4072	4275	MIC18
100507436	4276	MICA
221549	4278	MICC
54903	4290	MKS1
65108	4304	MLP
-	4305	MLPL1
3052	4307	MLS
4327	4315	MMP18
64386	4328	MMPL1
23405	4333	MNG1
1890	4334	MNGIE
3172	4339	MODY1
6927	4341	MODY3
280637	4344	PSMD7L
2023	4346	MPB1
4625	4347	MPD1
2120	4348	MPE
58	4349	MPFD
23096	4365	MRX1
-	4366	MRX4
10084	4367	MRX2
3054	4368	MRX3
-	4369	MRX5
-	4370	MRX6
-	4371	MRX7
-	4372	MRX8
24140	4373	MRX9
11141	4374	MRX10
-	4375	MRX11
57187	4376	MRX12
8242	4377	MRX13
-	4379	MRX15
4204	4380	MRX16
-	4381	MRX17
23096	4382	MRX18
6197	4383	MRX19
11141	4385	MRX21
6567	4386	MRX22
-	4388	MRX24
-	4389	MRX25
-	4390	MRX26
-	4391	MRX27
-	4392	MRX28
170302	4393	MRX29
5063	4394	MRX30
-	4395	MRX31
170302	4396	MRX32
170302	4398	MRX33
11141	4399	MRX34
57187	4400	MRX35
170302	4401	MRX36
-	4402	MRX37
170302	4403	MRX38
-	4404	MRX39
-	4405	MRX40
170302	4407	MRX43
24140	4408	MRX44
347344	4409	MRX45
9459	4410	MRX46
5063	4411	MRX47
6853	4413	MRX50
-	4414	MRX51
546	4415	MRX52
170302	4417	MRX54
10084	4418	MRX55
-	4419	MRX56
-	4420	MRX57
7102	4421	MRX58
8905	4422	MRX59
4983	4423	MRX60
-	4424	MRX61
65109	4425	MRX62
2182	4426	MRX63
-	4427	MRX64
7552	4428	MRX65
56979	4433	MSBP3
-	4441	MSK1
-	4442	MSK2
-	4443	MSK3
-	4444	MSK4
-	4445	MSK7
3685	4446	MSK8
-	4447	MSK9
-	4448	MSK10
-	4449	MSK11
-	4450	MSK13
-	4451	MSK14
-	4452	MSK15
-	4453	MSK17
3675	4454	MSK18
4059	4455	MSK19
-	4456	MSK20
-	4457	MSK22
-	4458	MSK23
-	4459	MSK24
-	4460	MSK25
-	4461	MSK26
-	4462	MSK27
-	4463	MSK28
-	4464	MSK29
-	4465	MSK30
